perception_id,participant_id,perceived_distance,weather_id,velocity_id,distance_id,velocity_ms,real_time,perceived_time,velocity_group,velocity_cat,error_ttc,ttc_bin
261,XXX_33,14.8082,clear,70.0,20.0,19.444444444444446,1.0285714285714285,0.7615645714285714,high,70 km/h,-0.2670068571428571,1
262,XXX_33,72.9689,clear,70.0,60.0,19.444444444444446,3.0857142857142854,3.7526862857142858,high,70 km/h,0.6669720000000003,3
263,XXX_33,50.9159,rain,70.0,40.0,19.444444444444446,2.057142857142857,2.6185319999999996,high,70 km/h,0.5613891428571427,2
264,XXX_33,14.5589,night,30.0,20.0,8.333333333333334,2.4,1.7470679999999998,low,30 km/h,-0.6529320000000001,2
265,XXX_33,60.5596,night,50.0,60.0,13.88888888888889,4.32,4.3602912,medium,50 km/h,0.04029119999999953,4
266,XXX_33,28.0991,clear,30.0,40.0,8.333333333333334,4.8,3.371892,low,30 km/h,-1.428108,5
267,XXX_33,52.3173,clear,50.0,60.0,13.88888888888889,4.32,3.7668456,medium,50 km/h,-0.5531544000000004,4
268,XXX_33,62.9232,night,30.0,60.0,8.333333333333334,7.199999999999999,7.550783999999999,low,30 km/h,0.350784,7
269,XXX_33,38.5101,rain,30.0,40.0,8.333333333333334,4.8,4.621212,low,30 km/h,-0.17878799999999995,5
270,XXX_33,38.0715,clear,50.0,40.0,13.88888888888889,2.88,2.741148,medium,50 km/h,-0.13885199999999998,3
271,XXX_34,27.2296,rain,40.0,20.0,11.11111111111111,1.8,2.450664,medium,40 km/h,0.6506640000000001,2
272,XXX_34,47.4631,clear,20.0,60.0,5.555555555555555,10.8,8.543358,low,20 km/h,-2.256642000000001,11
273,XXX_34,86.4485,clear,40.0,60.0,11.11111111111111,5.4,7.780365,medium,40 km/h,2.3803649999999994,5
274,XXX_34,36.6611,clear,20.0,40.0,5.555555555555555,7.2,6.598998,low,20 km/h,-0.6010020000000003,7
275,XXX_34,85.5006,night,60.0,60.0,16.666666666666668,3.5999999999999996,5.130036,high,60 km/h,1.530036,4
276,XXX_34,32.0446,night,20.0,40.0,5.555555555555555,7.2,5.768028000000001,low,20 km/h,-1.4319719999999991,7
277,XXX_34,54.5366,night,20.0,60.0,5.555555555555555,10.8,9.816588000000001,low,20 km/h,-0.9834119999999995,11
278,XXX_34,34.1251,clear,40.0,40.0,11.11111111111111,3.6,3.0712590000000004,medium,40 km/h,-0.5287409999999997,4
